Latitude,Longitude
34.04298,-118.227011
34.044321,-118.226986
34.03895,-118.224332
34.037025,-118.223457
34.039865,-118.224695
34.036029,-118.222954
34.036943,-118.222453
34.039865,-118.224695
34.038382,-118.223455
34.04474,-118.225499
34.042242,-118.226462
34.043701,-118.224115
34.036029,-118.222954
34.030707,-118.208343
34.045107,-118.214982
34.036943,-118.222453
34.034893,-118.225421
34.025528,-118.220608
34.045625,-118.216121
34.042242,-118.226462
34.047338,-118.226184
34.045222,-118.225592
